iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"38,986,084,179.11"
Shares Outstanding,"227,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"RMD","RESMED INC.","Equity","0.61","71.97","3,343,091.00","240,602,259.27","240,602,259.27","Health Care","2732903","US7611521078","New York Stock Exchange Inc."
"WWAV","WHITEWAVE FOODS","Equity","0.60","56.15","4,182,677.00","234,857,313.55","234,857,313.55","Consumer Staples","B834PQ5","US9662441057","New York Stock Exchange Inc."
"CSC","COMPUTER SCIENCES CORP","Equity","0.59","69.01","3,333,042.00","230,013,228.42","230,013,228.42","Information Technology","2215200","US2053631048","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.59","186.09","1,234,698.00","229,764,950.82","229,764,950.82","Financials","2808053","US78486Q1013","NASDAQ"
"CDK","CDK GLOBAL INC","Equity","0.57","65.01","3,422,593.00","222,502,770.93","222,502,770.93","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"DRE","DUKE REALTY REIT CORP","Equity","0.56","26.27","8,392,640.00","220,474,652.80","220,474,652.80","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC.","Equity","0.55","200.24","1,086,476.00","217,555,954.24","217,555,954.24","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"ANSS","ANSYS INC","Equity","0.55","106.87","2,015,202.00","215,364,637.74","215,364,637.74","Information Technology","2045623","US03662Q1058","NASDAQ"
"IT","GARTNER INC.","Equity","0.54","107.99","1,950,987.00","210,687,086.13","210,687,086.13","Information Technology","2372763","US3666511072","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC.","Equity","0.53","184.30","1,134,283.00","209,048,356.90","209,048,356.90","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"MSCI","MSCI INC","Equity","0.53","97.19","2,137,417.00","207,735,558.23","207,735,558.23","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.53","31.40","6,580,463.00","206,626,538.20","206,626,538.20","Information Technology","2302232","US1273871087","NASDAQ"
"TFX","TELEFLEX INC.","Equity","0.52","193.73","1,060,004.00","205,354,574.92","205,354,574.92","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
