iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Dec 29, 2017"
Total Net Assets,"44,165,504,109.06"
Shares Outstanding,"232,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.70","109.78","2,821,969.00","309,795,756.82","309,795,756.82","Information Technology","2122117","US8740541094","NASDAQ"
"SIVB","SVB FINANCIAL GROUP","Equity","0.69","233.77","1,304,959.00","305,060,265.43","305,060,265.43","Financials","2808053","US78486Q1013","NASDAQ"
"NVR","NVR INC","Equity","0.68","3,508.22","86,044.00","301,861,281.68","301,861,281.68","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"MSCI","MSCI INC","Equity","0.64","126.54","2,228,305.00","281,969,714.70","281,969,714.70","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"TFX","TELEFLEX INC","Equity","0.63","248.82","1,114,631.00","277,342,485.42","277,342,485.42","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","0.60","235.70","1,123,517.00","264,812,956.90","264,812,956.90","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.59","61.16","4,284,792.00","262,057,878.72","262,057,878.72","Information Technology","2208288","US1924221039","NASDAQ"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.59","90.58","2,883,828.00","261,217,140.24","261,217,140.24","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.57","40.64","6,229,244.00","253,156,476.16","253,156,476.16","Information Technology","2903958","US8962391004","NASDAQ"
"STLD","STEEL DYNAMICS INC","Equity","0.57","43.13","5,862,851.00","252,864,763.63","252,864,763.63","Materials","2849472","US8581191009","NASDAQ"
"IEX","IDEX CORP","Equity","0.56","131.97","1,890,375.00","249,472,788.75","249,472,788.75","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"INGR","INGREDION INC","Equity","0.56","139.80","1,778,120.00","248,581,176.00","248,581,176.00","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.56","155.93","1,593,537.00","248,480,224.41","248,480,224.41","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.53","85.89","2,741,982.00","235,508,833.98","235,508,833.98","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.53","71.86","3,233,949.00","232,391,575.14","232,391,575.14","Financials","2793610","US7841171033","NASDAQ"
"CDK","CDK GLOBAL INC","Equity","0.52","71.28","3,249,835.00","231,648,238.80","231,648,238.80","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"CC","CHEMOURS","Equity","0.52","50.06","4,581,445.00","229,347,136.70","229,347,136.70","Materials","BZ0CTP8","US1638511089","New York Stock Exchange Inc."
"LDOS","LEIDOS HOLDINGS INC","Equity","0.51","64.57","3,518,549.00","227,192,708.93","227,192,708.93","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","0.51","51.22","4,386,368.00","224,669,768.96","224,669,768.96","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.51","116.96","1,910,982.00","223,508,454.72","223,508,454.72","Information Technology","2469193","US4262811015","NASDAQ"
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.50","131.55","1,691,715.00","222,545,108.25","222,545,108.25","Industrials","2656423","US6795801009","NASDAQ"
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.50","201.11","1,101,585.00","221,539,759.35","221,539,759.35","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.49","60.83","3,576,381.00","217,551,256.23","217,551,256.23","Financials","2487407","US27579R1041","NASDAQ"
"CPRT","COPART INC","Equity","0.49","43.19","4,975,825.00","214,905,881.75","214,905,881.75","Industrials","2208073","US2172041061","NASDAQ"
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.48","92.06","2,292,791.00","211,074,339.46","211,074,339.46","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.47","596.09","351,000.00","209,227,590.00","209,227,590.00","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"MAN","MANPOWER INC","Equity","0.47","126.11","1,639,685.00","206,780,675.35","206,780,675.35","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC","Equity","0.46","188.96","1,082,094.00","204,472,482.24","204,472,482.24","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"LW","LAMB WESTON HOLDINGS INC","Equity","0.46","56.45","3,616,675.00","204,161,303.75","204,161,303.75","Consumer Staples","BDQZFJ3","US5132721045","New York Stock Exchange Inc."
"TER","TERADYNE INC","Equity","0.46","41.87","4,853,479.00","203,215,165.73","203,215,165.73","Information Technology","2884183","US8807701029","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.46","46.95","4,293,028.00","201,557,664.60","201,557,664.60","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"IPGP","IPG PHOTONICS CORP","Equity","0.45","214.13","928,617.00","198,844,758.21","198,844,758.21","Information Technology","2698782","US44980X1090","NASDAQ"
"ABMD","ABIOMED INC","Equity","0.44","187.41","1,039,325.00","194,779,898.25","194,779,898.25","Health Care","2003698","US0036541003","NASDAQ"
"LII","LENNOX INTERNATIONAL INC","Equity","0.44","208.26","930,259.00","193,735,739.34","193,735,739.34","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.43","41.60","4,586,514.00","190,798,982.40","190,798,982.40","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"GGG","GRACO INC","Equity","0.43","45.22","4,166,436.00","188,406,235.92","188,406,235.92","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","0.42","131.50","1,427,303.00","187,690,344.50","187,690,344.50","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.42","201.75","929,962.00","187,619,833.50","187,619,833.50","Financials","B03Q9D0","US57060D1081","NASDAQ"
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.42","192.76","967,703.00","186,534,430.28","186,534,430.28","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"WR","WESTAR ENERGY INC","Equity","0.42","52.80","3,514,583.00","185,569,982.40","185,569,982.40","Utilities","2484000","US95709T1007","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.42","108.54","1,700,529.00","184,575,417.66","184,575,417.66","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"STE","STERIS","Equity","0.42","87.47","2,104,403.00","184,072,130.41","184,072,130.41","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"NDSN","NORDSON CORP","Equity","0.42","146.40","1,256,146.00","183,899,774.40","183,899,774.40","Industrials","2641838","US6556631025","NASDAQ"
