iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"45,884,437,552.59"
Shares Outstanding,"235,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.79","126.67","2,849,037.00","360,887,516.79","360,887,516.79","Information Technology","2122117","US8740541094","NASDAQ"
"SIVB","SVB FINANCIAL GROUP","Equity","0.71","246.55","1,317,473.00","324,822,968.15","324,822,968.15","Financials","2808053","US78486Q1013","NASDAQ"
"MSCI","MSCI INC","Equity","0.68","139.23","2,249,682.00","313,223,224.86","313,223,224.86","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"TFX","TELEFLEX INC","Equity","0.68","277.75","1,125,326.00","312,559,296.50","312,559,296.50","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.61","96.41","2,911,477.00","280,695,497.57","280,695,497.57","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"BIVV","BIOVERATIV INC","Equity","0.61","103.06","2,707,037.00","278,987,233.22","278,987,233.22","Health Care","BDTYZ53","US09075E1001","NASDAQ"
"TRMB","TRIMBLE INC","Equity","0.61","44.10","6,288,997.00","277,344,767.70","277,344,767.70","Information Technology","2903958","US8962391004","NASDAQ"
"NVR","NVR INC","Equity","0.60","3,178.17","86,894.00","276,163,903.98","276,163,903.98","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.60","143.48","1,908,524.00","273,835,023.52","273,835,023.52","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.59","62.37","4,325,883.00","269,805,322.71","269,805,322.71","Information Technology","2208288","US1924221039","NASDAQ"
"STLD","STEEL DYNAMICS INC","Equity","0.59","45.40","5,919,066.00","268,725,596.40","268,725,596.40","Materials","2849472","US8581191009","NASDAQ"
"INGR","INGREDION INC","Equity","0.56","143.64","1,795,193.00","257,861,522.52","257,861,522.52","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.55","156.65","1,608,813.00","252,020,556.45","252,020,556.45","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.55","146.45","1,707,933.00","250,126,787.85","250,126,787.85","Industrials","2656423","US6795801009","NASDAQ"
