iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"43,823,412,443.88"
Shares Outstanding,"235,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"SIVB","SVB FINANCIAL GROUP","Equity","0.75","248.98","1,320,509.00","328,780,330.82","328,780,330.82","Financials","2808053","US78486Q1013","NASDAQ"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.73","111.87","2,855,618.00","319,457,985.66","319,457,985.66","Information Technology","2122117","US8740541094","NASDAQ"
"MSCI","MSCI INC","Equity","0.73","141.52","2,254,862.00","319,108,070.24","319,108,070.24","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.67","100.38","2,918,183.00","292,927,209.54","292,927,209.54","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"BIVV","BIOVERATIV INC","Equity","0.65","104.68","2,708,064.00","283,480,139.52","283,480,139.52","Health Care","BDTYZ53","US09075E1001","NASDAQ"
"ABMD","ABIOMED INC","Equity","0.64","268.18","1,051,710.00","282,047,587.80","282,047,587.80","Health Care","2003698","US0036541003","NASDAQ"
"TFX","TELEFLEX INC","Equity","0.64","249.83","1,127,919.00","281,788,003.77","281,788,003.77","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.63","46.25","5,932,711.00","274,387,883.75","274,387,883.75","Materials","2849472","US8581191009","NASDAQ"
"IEX","IDEX CORP","Equity","0.60","136.80","1,912,923.00","261,687,866.40","261,687,866.40","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.57","153.79","1,612,447.00","247,978,224.13","247,978,224.13","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"NVR","NVR INC","Equity","0.57","2,843.17","87,086.00","247,600,302.62","247,600,302.62","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC","Equity","0.56","222.41","1,096,904.00","243,962,418.64","243,962,418.64","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.55","37.93","6,303,493.00","239,091,489.49","239,091,489.49","Information Technology","2903958","US8962391004","NASDAQ"
"SEIC","SEI INVESTMENTS","Equity","0.54","72.83","3,272,041.00","238,302,746.03","238,302,746.03","Financials","2793610","US7841171033","NASDAQ"
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.54","138.92","1,711,644.00","237,781,584.48","237,781,584.48","Industrials","2656423","US6795801009","NASDAQ"
"EWBC","EAST WEST BANCORP INC","Equity","0.54","65.55","3,618,568.00","237,197,132.40","237,197,132.40","Financials","2487407","US27579R1041","NASDAQ"
"CPRT","COPART INC","Equity","0.54","46.81","5,043,914.00","236,105,614.34","236,105,614.34","Industrials","2208073","US2172041061","NASDAQ"
"INGR","INGREDION INC","Equity","0.54","130.64","1,799,161.00","235,042,393.04","235,042,393.04","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.53","53.71","4,335,533.00","232,861,477.43","232,861,477.43","Information Technology","2208288","US1924221039","NASDAQ"
"IPGP","IPG PHOTONICS CORP","Equity","0.53","245.64","941,332.00","231,228,792.48","231,228,792.48","Information Technology","2698782","US44980X1090","NASDAQ"
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.52","117.30","1,937,113.00","227,223,354.90","227,223,354.90","Information Technology","2469193","US4262811015","NASDAQ"
"CDK","CDK GLOBAL INC","Equity","0.52","68.68","3,294,286.00","226,251,562.48","226,251,562.48","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"LDOS","LEIDOS HOLDINGS INC","Equity","0.51","63.31","3,559,915.00","225,378,218.65","225,378,218.65","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
