iShares Core S&P Mid-Cap ETF,,,,,,,,,,,
Inception Date,"May 22, 2000",,,,,,,,,,
Fund Holdings as of,"Mar 29, 2018",,,,,,,,,,
Total Net Assets,"44,298,341,708.25",,,,,,,,,,
Shares Outstanding,"236,250,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
MSCI,MSCI INC,Equity,0.78,149.47,"2,318,410.00","346,532,742.70","346,532,742.70",Financials,B2972D2,US55354G1004,New York Stock Exchange Inc.
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Equity,0.74,109.69,"3,007,342.00","329,875,343.98","329,875,343.98",Information Technology,B1VP7R6,US11133T1034,New York Stock Exchange Inc.
ABMD,ABIOMED INC,Equity,0.71,290.99,"1,084,482.00","315,573,417.18","315,573,417.18",Health Care,2003698,US0036541003,NASDAQ
TFX,TELEFLEX INC,Equity,0.66,254.98,"1,159,729.00","295,707,700.42","295,707,700.42",Health Care,2881407,US8793691069,New York Stock Exchange Inc.
IEX,IDEX CORP,Equity,0.63,142.51,"1,970,357.00","280,795,576.07","280,795,576.07",Industrials,2456612,US45167R1041,New York Stock Exchange Inc.
STLD,STEEL DYNAMICS INC,Equity,0.6,44.22,"6,077,483.00","268,746,298.26","268,746,298.26",Materials,2849472,US8581191009,NASDAQ
CPRT,COPART INC,Equity,0.59,50.93,"5,196,098.00","264,637,271.14","264,637,271.14",Industrials,2208073,US2172041061,NASDAQ
DPZ,DOMINOS PIZZA INC,Equity,0.59,233.56,"1,125,881.00","262,960,766.36","262,960,766.36",Consumer Discretionary,B01SD70,US25754A2015,New York Stock Exchange Inc.
ODFL,OLD DOMINION FREIGHT LINE INC,Equity,0.58,146.97,"1,760,162.00","258,691,009.14","258,691,009.14",Industrials,2656423,US6795801009,NASDAQ
KEYS,KEYSIGHT TECHNOLOGIES INC,Equity,0.57,52.39,"4,891,419.00","256,261,441.41","256,261,441.41",Information Technology,BQZJ0Q9,US49338L1035,New York Stock Exchange Inc.
RGA,REINSURANCE GROUP OF AMERICA INC,Equity,0.57,154,"1,659,991.00","255,638,614.00","255,638,614.00",Financials,2731193,US7593516047,New York Stock Exchange Inc.
SEIC,SEI INVESTMENTS,Equity,0.56,74.91,"3,360,649.00","251,746,216.59","251,746,216.59",Financials,2793610,US7841171033,NASDAQ
NVR,NVR INC,Equity,0.55,"2,800.00","88,205.00","246,974,000.00","246,974,000.00",Consumer Discretionary,2637785,US62944T1051,New York Stock Exchange Inc.
ATO,ATMOS ENERGY CORP,Equity,0.54,84.24,"2,856,550.00","240,635,772.00","240,635,772.00",Utilities,2315359,US0495601058,New York Stock Exchange Inc.
JKHY,JACK HENRY ANS ASSOCIATES INC,Equity,0.54,120.95,"1,989,077.00","240,578,863.15","240,578,863.15",Information Technology,2469193,US4262811015,NASDAQ
INGR,INGREDION INC,Equity,0.54,128.92,"1,859,642.00","239,745,046.64","239,745,046.64",Consumer Staples,B7K24P7,US4571871023,New York Stock Exchange Inc.
LDOS,LEIDOS HOLDINGS INC,Equity,0.54,65.4,"3,665,225.00","239,705,715.00","239,705,715.00",Information Technology,BDV82B8,US5253271028,New York Stock Exchange Inc.
PTC,PTC INC,Equity,0.52,78.01,"2,993,622.00","233,532,452.22","233,532,452.22",Information Technology,B95N910,US69370C1009,NASDAQ
EWBC,EAST WEST BANCORP INC,Equity,0.52,62.54,"3,721,144.00","232,720,345.76","232,720,345.76",Financials,2487407,US27579R1041,NASDAQ
CGNX,COGNEX CORP,Equity,0.52,51.99,"4,467,946.00","232,288,512.54","232,288,512.54",Information Technology,2208288,US1924221039,NASDAQ
CC,CHEMOURS,Equity,0.52,48.71,"4,766,901.00","232,195,747.71","232,195,747.71",Materials,BZ0CTP8,US1638511089,New York Stock Exchange Inc.
TER,TERADYNE INC,Equity,0.51,45.71,"5,031,013.00","229,967,604.23","229,967,604.23",Information Technology,2884183,US8807701029,New York Stock Exchange Inc.
TRMB,TRIMBLE INC,Equity,0.51,35.88,"6,391,439.00","229,324,831.32","229,324,831.32",Information Technology,2903958,US8962391004,NASDAQ
HFC,HOLLYFRONTIER CORP,Equity,0.5,48.86,"4,566,051.00","223,097,251.86","223,097,251.86",Energy,B5VX1H6,US4361061082,New York Stock Exchange Inc.
WCG,WELLCARE HEALTHCARE PLANS INC,Equity,0.5,193.63,"1,146,385.00","221,974,527.55","221,974,527.55",Health Care,B01R258,US94946T1060,New York Stock Exchange Inc.
LW,LAMB WESTON HOLDINGS INC,Equity,0.49,58.22,"3,763,066.00","219,085,702.52","219,085,702.52",Consumer Staples,BDQZFJ3,US5132721045,New York Stock Exchange Inc.
Y,ALLEGHANY CORP,Equity,0.48,614.44,"351,000.00","215,668,440.00","215,668,440.00",Financials,2016801,US0171751003,New York Stock Exchange Inc.
