iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Apr 28, 2017"
Total Net Assets,"39,731,096,192.60"
Shares Outstanding,"230,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ALGN","ALIGN TECHNOLOGY INC","Equity","0.61","134.62","1,813,293.00","244,105,503.66","244,105,503.66","Health Care","2679204","US0162551016","NASDAQ"
"DRE","DUKE REALTY REIT CORP","Equity","0.60","27.73","8,542,052.00","236,871,101.96","236,871,101.96","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"RMD","RESMED INC","Equity","0.58","67.99","3,403,311.00","231,391,114.89","231,391,114.89","Health Care","2732903","US7611521078","New York Stock Exchange Inc."
"CDK","CDK GLOBAL INC","Equity","0.57","65.01","3,484,062.00","226,498,870.62","226,498,870.62","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"ANSS","ANSYS INC","Equity","0.57","110.16","2,051,349.00","225,976,605.84","225,976,605.84","Information Technology","2045623","US03662Q1058","NASDAQ"
"TFX","TELEFLEX INC","Equity","0.56","206.89","1,079,060.00","223,246,723.40","223,246,723.40","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","0.56","98.78","2,257,079.00","222,954,263.62","222,954,263.62","Materials","2504566","US6951561090","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","0.56","200.89","1,106,021.00","222,188,558.69","222,188,558.69","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.56","175.94","1,256,850.00","221,130,189.00","221,130,189.00","Financials","2808053","US78486Q1013","NASDAQ"
"MSCI","MSCI INC","Equity","0.55","100.32","2,175,718.00","218,268,029.76","218,268,029.76","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.55","32.57","6,698,792.00","218,179,655.44","218,179,655.44","Information Technology","2302232","US1273871087","NASDAQ"
"RE","EVEREST RE GROUP LTD","Equity","0.54","251.71","856,016.00","215,467,787.36","215,467,787.36","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.54","35.43","6,063,793.00","214,840,185.99","214,840,185.99","Information Technology","2903958","US8962391004","NASDAQ"
"INGR","INGREDION INC","Equity","0.54","123.82","1,725,135.00","213,606,215.70","213,606,215.70","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.53","36.14","5,824,742.00","210,506,175.88","210,506,175.88","Materials","2849472","US8581191009","NASDAQ"
"DPZ","DOMINOS PIZZA INC","Equity","0.53","181.39","1,154,741.00","209,458,469.99","209,458,469.99","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.52","50.16","4,155,610.00","208,445,397.60","208,445,397.60","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.52","81.02","2,527,453.00","204,774,242.06","204,774,242.06","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.50","69.94","2,842,639.00","198,814,171.66","198,814,171.66","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"VAL","VALSPAR CORP","Equity","0.50","112.44","1,756,751.00","197,529,082.44","197,529,082.44","Materials","2926739","US9203551042","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.49","125.04","1,543,061.00","192,944,347.44","192,944,347.44","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.48","104.76","1,833,015.00","192,026,651.40","192,026,651.40","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"AOS","A O SMITH CORP","Equity","0.48","53.88","3,540,152.00","190,743,389.76","190,743,389.76","Industrials","2816023","US8318652091","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.48","610.70","309,375.00","188,935,312.50","188,935,312.50","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.47","54.27","3,465,606.00","188,078,437.62","188,078,437.62","Financials","2487407","US27579R1041","NASDAQ"
"ASH","ASHLAND GLOBAL INC","Equity","0.46","123.50","1,495,402.00","184,682,147.00","184,682,147.00","Materials","BYND5N1","US0441861046","New York Stock Exchange Inc."
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.46","96.92","1,866,122.00","180,864,544.24","180,864,544.24","Information Technology","2469193","US4262811015","NASDAQ"
"LDOS","LEIDOS HOLDINGS INC","Equity","0.46","52.66","3,433,519.00","180,809,110.54","180,809,110.54","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"WOOF","VCA INC","Equity","0.45","91.57","1,952,715.00","178,810,112.55","178,810,112.55","Health Care","2818278","US9181941017","NASDAQ"
"SBNY","SIGNATURE BANK","Equity","0.45","138.45","1,290,403.00","178,656,295.35","178,656,295.35","Financials","B00JQL9","US82669G1040","NASDAQ"
"WR","WESTAR ENERGY INC","Equity","0.45","52.03","3,414,168.00","177,639,161.04","177,639,161.04","Utilities","2484000","US95709T1007","New York Stock Exchange Inc."
"CC","CHEMOURS","Equity","0.45","40.29","4,403,938.00","177,434,662.02","177,434,662.02","Materials","BZ0CTP8","US1638511089","New York Stock Exchange Inc."
"JBLU","JETBLUE AIRWAYS CORP","Equity","0.45","21.83","8,102,563.00","176,878,950.29","176,878,950.29","Industrials","2852760","US4771431016","NASDAQ"
"CGNX","COGNEX CORP","Equity","0.44","85.34","2,068,826.00","176,553,610.84","176,553,610.84","Information Technology","2208288","US1924221039","NASDAQ"
"NVR","NVR INC","Equity","0.44","2,111.25","82,812.00","174,836,835.00","174,836,835.00","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.44","192.52","904,637.00","174,160,715.24","174,160,715.24","Financials","B03Q9D0","US57060D1081","NASDAQ"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Equity","0.44","83.89","2,072,526.00","173,864,206.14","173,864,206.14","Industrials","2955733","US9297401088","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.44","82.33","2,104,076.00","173,228,577.08","173,228,577.08","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.43","97.31","1,757,256.00","170,998,581.36","170,998,581.36","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"TER","TERADYNE INC","Equity","0.43","35.27","4,816,740.00","169,886,419.80","169,886,419.80","Information Technology","2884183","US8807701029","New York Stock Exchange Inc."
"TTC","TORO","Equity","0.43","64.92","2,601,665.00","168,900,091.80","168,900,091.80","Industrials","2897040","US8910921084","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.42","52.56","3,211,562.00","168,799,698.72","168,799,698.72","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.42","34.78","4,801,229.00","166,986,744.62","166,986,744.62","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
