iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"May 31, 2017"
Total Net Assets,"39,589,657,324.78"
Shares Outstanding,"230,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ALGN","ALIGN TECHNOLOGY INC","Equity","0.66","145.20","1,806,836.00","262,352,587.20","262,352,587.20","Health Care","2679204","US0162551016","NASDAQ"
"ANSS","ANSYS INC","Equity","0.65","126.33","2,044,212.00","258,245,301.96","258,245,301.96","Information Technology","2045623","US03662Q1058","NASDAQ"
"DRE","DUKE REALTY REIT CORP","Equity","0.62","28.67","8,513,648.00","244,086,288.16","244,086,288.16","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC","Equity","0.62","211.72","1,150,556.00","243,595,716.32","243,595,716.32","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"RMD","RESMED INC","Equity","0.61","71.10","3,391,902.00","241,164,232.20","241,164,232.20","Health Care","2732903","US7611521078","New York Stock Exchange Inc."
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.59","35.14","6,674,976.00","234,558,656.64","234,558,656.64","Information Technology","2302232","US1273871087","NASDAQ"
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","0.58","102.16","2,260,025.00","230,884,154.00","230,884,154.00","Materials","2504566","US6951561090","New York Stock Exchange Inc."
"MSCI","MSCI INC","Equity","0.56","101.73","2,168,053.00","220,556,031.69","220,556,031.69","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"RE","EVEREST RE GROUP LTD","Equity","0.55","254.65","856,016.00","217,984,474.40","217,984,474.40","Financials","2556868","BMG3223R1088","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.55","36.04","6,040,807.00","217,710,684.28","217,710,684.28","Information Technology","2903958","US8962391004","NASDAQ"
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","0.55","195.81","1,102,188.00","215,819,432.28","215,819,432.28","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
