iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jun 30, 2017"
Total Net Assets,"40,037,750,826.58"
Shares Outstanding,"230,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"RMD","RESMED INC","Equity","0.67","77.87","3,381,511.00","263,318,261.57","263,318,261.57","Health Care","2732903","US7611521078","New York Stock Exchange Inc."
"PKG","PACKAGING CORP OF AMERICA CORP","Equity","0.63","111.39","2,246,198.00","250,203,995.22","250,203,995.22","Materials","2504566","US6951561090","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC","Equity","0.61","211.53","1,146,638.00","242,548,336.14","242,548,336.14","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"DRE","DUKE REALTY REIT CORP","Equity","0.60","27.95","8,478,708.00","236,979,888.60","236,979,888.60","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"TFX","TELEFLEX INC","Equity","0.57","207.76","1,076,726.00","223,700,593.76","223,700,593.76","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.57","33.49","6,666,745.00","223,269,290.05","223,269,290.05","Information Technology","2302232","US1273871087","NASDAQ"
"MSCI","MSCI INC","Equity","0.56","102.99","2,158,907.00","222,345,831.93","222,345,831.93","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.56","175.79","1,251,662.00","220,029,662.98","220,029,662.98","Financials","2808053","US78486Q1013","NASDAQ"
"TRMB","TRIMBLE INC","Equity","0.55","35.67","6,053,541.00","215,929,807.47","215,929,807.47","Information Technology","2903958","US8962391004","NASDAQ"
"CDK","CDK GLOBAL INC","Equity","0.55","62.06","3,475,479.00","215,688,226.74","215,688,226.74","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.54","75.56","2,814,542.00","212,666,793.52","212,666,793.52","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.53","82.95","2,520,310.00","209,059,714.50","209,059,714.50","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.52","35.81","5,787,747.00","207,259,220.07","207,259,220.07","Materials","2849472","US8581191009","NASDAQ"
"IEX","IDEX CORP","Equity","0.52","113.01","1,826,524.00","206,415,477.24","206,415,477.24","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","0.52","186.16","1,101,549.00","205,064,361.84","205,064,361.84","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"INGR","INGREDION INC","Equity","0.52","119.21","1,715,854.00","204,546,955.34","204,546,955.34","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.51","58.58","3,458,507.00","202,599,340.06","202,599,340.06","Financials","2487407","US27579R1041","NASDAQ"
"UGI","UGI CORP","Equity","0.51","48.41","4,144,055.00","200,613,702.55","200,613,702.55","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"NVR","NVR INC","Equity","0.51","2,410.61","83,065.00","200,237,319.65","200,237,319.65","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"AOS","A O SMITH CORP","Equity","0.50","56.33","3,525,308.00","198,580,599.64","198,580,599.64","Industrials","2816023","US8318652091","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.50","128.39","1,541,294.00","197,886,736.66","197,886,736.66","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.49","103.87","1,858,705.00","193,063,688.35","193,063,688.35","Information Technology","2469193","US4262811015","NASDAQ"
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.48","179.56","1,060,858.00","190,487,662.48","190,487,662.48","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Equity","0.48","91.50","2,067,253.00","189,153,649.50","189,153,649.50","Industrials","2955733","US9297401088","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.47","143.53","1,285,025.00","184,439,638.25","184,439,638.25","Financials","B00JQL9","US82669G1040","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.47","594.80","309,375.00","184,016,250.00","184,016,250.00","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.46","73.38","2,485,293.00","182,370,800.34","182,370,800.34","Information Technology","2122117","US8740541094","NASDAQ"
"JBLU","JETBLUE AIRWAYS CORP","Equity","0.46","22.83","7,987,472.00","182,353,985.76","182,353,985.76","Industrials","2852760","US4771431016","NASDAQ"
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.46","201.10","899,722.00","180,934,094.20","180,934,094.20","Financials","B03Q9D0","US57060D1081","NASDAQ"
"WR","WESTAR ENERGY INC","Equity","0.46","53.02","3,400,169.00","180,276,960.38","180,276,960.38","Utilities","2484000","US95709T1007","New York Stock Exchange Inc."
"WOOF","VCA INC","Equity","0.45","92.31","1,945,272.00","179,568,058.32","179,568,058.32","Health Care","2818278","US9181941017","NASDAQ"
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.45","85.51","2,097,911.00","179,392,369.61","179,392,369.61","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"MAN","MANPOWER INC","Equity","0.45","111.65","1,605,699.00","179,276,293.35","179,276,293.35","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"TTC","TORO","Equity","0.45","69.29","2,575,302.00","178,442,675.58","178,442,675.58","Industrials","2897040","US8910921084","New York Stock Exchange Inc."
"LDOS","LEIDOS HOLDINGS INC","Equity","0.45","51.69","3,421,151.00","176,839,295.19","176,839,295.19","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"KRC","KILROY REALTY REIT CORP","Equity","0.45","75.15","2,343,481.00","176,112,597.15","176,112,597.15","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.44","84.90","2,069,060.00","175,663,194.00","175,663,194.00","Information Technology","2208288","US1924221039","NASDAQ"
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.44","99.37","1,763,187.00","175,207,892.19","175,207,892.19","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.44","54.55","3,197,529.00","174,425,206.95","174,425,206.95","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.44","38.93","4,414,084.00","171,840,290.12","171,840,290.12","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.43","53.78","3,191,255.00","171,625,693.90","171,625,693.90","Financials","2793610","US7841171033","NASDAQ"
"LII","LENNOX INTERNATIONAL INC","Equity","0.43","183.64","919,318.00","168,823,557.52","168,823,557.52","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"CC","CHEMOURS","Equity","0.42","37.92","4,418,099.00","167,534,314.08","167,534,314.08","Materials","BZ0CTP8","US1638511089","New York Stock Exchange Inc."
"ARW","ARROW ELECTRONICS INC","Equity","0.42","78.42","2,126,597.00","166,767,736.74","166,767,736.74","Information Technology","2051404","US0427351004","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.42","34.79","4,780,369.00","166,309,037.51","166,309,037.51","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.42","94.52","1,753,854.00","165,774,280.08","165,774,280.08","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"STE","STERIS","Equity","0.42","81.50","2,033,036.00","165,692,434.00","165,692,434.00","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"PNRA","PANERA BREAD CLASS A","Equity","0.41","314.64","510,638.00","160,667,140.32","160,667,140.32","Consumer Discretionary","2063034","US69840W1080","NASDAQ"
"WRB","WR BERKLEY CORP","Equity","0.41","69.17","2,312,384.00","159,947,601.28","159,947,601.28","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.40","95.24","1,657,709.00","157,880,205.16","157,880,205.16","Industrials","2656423","US6795801009","NASDAQ"
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.40","166.18","944,539.00","156,963,491.02","156,963,491.02","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"BIVV","BIOVERATIV INC","Equity","0.39","60.17","2,588,962.00","155,777,843.54","155,777,843.54","Health Care","BDTYZ53","US09075E1001","NASDAQ"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.39","33.02","4,711,043.00","155,558,639.86","155,558,639.86","Real Estate","2043274","US6819361006","New York Stock Exchange Inc."
"CPRT","COPART INC","Equity","0.39","31.79","4,887,862.00","155,385,132.98","155,385,132.98","Industrials","2208073","US2172041061","NASDAQ"
"NDSN","NORDSON CORP","Equity","0.39","121.32","1,278,026.00","155,050,114.32","155,050,114.32","Industrials","2641838","US6556631025","NASDAQ"
"NYCB","NEW YORK COMMUNITY BANCORP DS REP","Equity","0.39","13.13","11,706,451.00","153,705,701.63","153,705,701.63","Financials","2711656","US6494451031","New York Stock Exchange Inc."
"PTC","PTC INC","Equity","0.39","55.12","2,765,307.00","152,423,721.84","152,423,721.84","Information Technology","B95N910","US69370C1009","NASDAQ"
"ACC","AMERICAN CAMPUS COMMUNITIES REIT I","Equity","0.38","47.30","3,196,879.00","151,212,376.70","151,212,376.70","Real Estate","B02H871","US0248351001","New York Stock Exchange Inc."
"GXP","GREAT PLAINS ENERGY INC","Equity","0.38","29.28","5,160,977.00","151,113,406.56","151,113,406.56","Utilities","2483706","US3911641005","New York Stock Exchange Inc."
"SCI","SERVICE","Equity","0.38","33.45","4,499,926.00","150,522,524.70","150,522,524.70","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.38","210.06","711,281.00","149,411,686.86","149,411,686.86","Information Technology","2249964","US90385D1072","NASDAQ"
"CSL","CARLISLE COMPANIES INC","Equity","0.37","95.40","1,546,274.00","147,514,539.60","147,514,539.60","Industrials","2176318","US1423391002","New York Stock Exchange Inc."
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.37","73.57","1,998,246.00","147,010,958.22","147,010,958.22","Real Estate","BSPHGN6","US5128161099","NASDAQ"
"LW","LAMB WESTON HOLDINGS INC","Equity","0.37","44.04","3,321,621.00","146,284,188.84","146,284,188.84","Consumer Staples","BDQZFJ3","US5132721045","New York Stock Exchange Inc."
"GGG","GRACO INC","Equity","0.37","109.28","1,329,785.00","145,318,904.80","145,318,904.80","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"DCI","DONALDSON INC","Equity","0.36","45.54","3,162,144.00","144,004,037.76","144,004,037.76","Industrials","2276467","US2576511099","New York Stock Exchange Inc."
"TER","TERADYNE INC","Equity","0.36","30.03","4,762,465.00","143,016,823.95","143,016,823.95","Information Technology","2884183","US8807701029","New York Stock Exchange Inc."
"JHG","JANUS HENDERSON GROUP PLC","Equity","0.36","33.11","4,317,635.00","142,956,894.85","142,956,894.85","Financials","BYPZJQ6","JE00BYPZJM29","New York Stock Exchange Inc."
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.36","40.71","3,510,149.00","142,898,165.79","142,898,165.79","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.36","1.00","142,209,160.00","142,209,160.39","142,209,160.39","Cash and/or Derivatives","-","US0669224778","-"
"TYL","TYLER TECHNOLOGIES INC","Equity","0.36","175.67","808,590.00","142,045,005.30","142,045,005.30","Information Technology","2909644","US9022521051","New York Stock Exchange Inc."
"WTR","AQUA AMERICA INC","Equity","0.36","33.30","4,251,237.00","141,566,192.10","141,566,192.10","Utilities","2685234","US03836W1036","New York Stock Exchange Inc."
"ABMD","ABIOMED INC","Equity","0.35","143.30","977,035.00","140,009,115.50","140,009,115.50","Health Care","2003698","US0036541003","NASDAQ"
"TOL","TOLL BROTHERS INC","Equity","0.35","39.51","3,541,889.00","139,940,034.39","139,940,034.39","Consumer Discretionary","2896092","US8894781033","New York Stock Exchange Inc."
"UTHR","UNITED THERAPEUTICS CORP","Equity","0.35","129.73","1,074,402.00","139,382,171.46","139,382,171.46","Health Care","2430412","US91307C1027","NASDAQ"
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.35","39.10","3,554,644.00","138,986,580.40","138,986,580.40","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"HUBB","HUBBELL INC","Equity","0.35","113.17","1,225,339.00","138,671,614.63","138,671,614.63","Industrials","BDFG6S3","US4435106079","New York Stock Exchange Inc."
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Equity","0.35","92.09","1,480,491.00","136,338,416.19","136,338,416.19","Industrials","2516851","US5339001068","NASDAQ"
