iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jul 31, 2017"
Total Net Assets,"39,621,859,021.96"
Shares Outstanding,"225,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.63","36.90","6,734,469.00","248,501,906.10","248,501,906.10","Information Technology","2302232","US1273871087","NASDAQ"
"MSCI","MSCI INC","Equity","0.60","108.95","2,180,870.00","237,605,786.50","237,605,786.50","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"CDK","CDK GLOBAL INC","Equity","0.58","65.78","3,497,191.00","230,045,223.98","230,045,223.98","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","0.58","206.11","1,108,461.00","228,464,896.71","228,464,896.71","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.58","37.43","6,091,341.00","227,998,893.63","227,998,893.63","Information Technology","2903958","US8962391004","NASDAQ"
"SIVB","SVB FINANCIAL GROUP","Equity","0.57","178.44","1,264,432.00","225,625,246.08","225,625,246.08","Financials","2808053","US78486Q1013","NASDAQ"
"TFX","TELEFLEX INC","Equity","0.57","207.22","1,082,799.00","224,377,608.78","224,377,608.78","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.56","86.76","2,536,062.00","220,028,739.12","220,028,739.12","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"NVR","NVR INC","Equity","0.55","2,610.44","83,950.00","219,146,438.00","219,146,438.00","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.55","140.20","1,550,071.00","217,319,954.20","217,319,954.20","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"DPZ","DOMINOS PIZZA INC","Equity","0.55","186.50","1,158,288.00","216,020,712.00","216,020,712.00","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.54","75.86","2,832,145.00","214,846,519.70","214,846,519.70","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.54","116.54","1,838,080.00","214,209,843.20","214,209,843.20","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"INGR","INGREDION INC","Equity","0.54","123.32","1,726,608.00","212,925,298.56","212,925,298.56","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"CC","CHEMOURS","Equity","0.53","47.61","4,443,443.00","211,552,321.23","211,552,321.23","Materials","BZ0CTP8","US1638511089","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.53","50.47","4,170,087.00","210,464,290.89","210,464,290.89","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.52","35.41","5,823,918.00","206,224,936.38","206,224,936.38","Materials","2849472","US8581191009","NASDAQ"
"Y","ALLEGHANY CORP","Equity","0.52","613.34","333,914.00","204,802,812.76","204,802,812.76","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.51","107.32","1,869,269.00","200,609,949.08","200,609,949.08","Information Technology","2469193","US4262811015","NASDAQ"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.50","79.48","2,501,278.00","198,801,575.44","198,801,575.44","Information Technology","2122117","US8740541094","NASDAQ"
"CGNX","COGNEX CORP","Equity","0.50","95.06","2,087,237.00","198,412,749.22","198,412,749.22","Information Technology","2208288","US1924221039","NASDAQ"
"EWBC","EAST WEST BANCORP INC","Equity","0.50","56.98","3,480,389.00","198,312,565.22","198,312,565.22","Financials","2487407","US27579R1041","NASDAQ"
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.48","176.99","1,071,061.00","189,567,086.39","189,567,086.39","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.48","89.70","2,111,230.00","189,377,331.00","189,377,331.00","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.47","41.59","4,449,315.00","185,047,010.85","185,047,010.85","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"LDOS","LEIDOS HOLDINGS INC","Equity","0.47","53.44","3,456,448.00","184,712,581.12","184,712,581.12","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"TTC","TORO","Equity","0.46","71.09","2,591,604.00","184,237,128.36","184,237,128.36","Industrials","2897040","US8910921084","New York Stock Exchange Inc."
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.46","202.89","904,789.00","183,572,640.21","183,572,640.21","Financials","B03Q9D0","US57060D1081","NASDAQ"
"SEIC","SEI INVESTMENTS","Equity","0.46","56.51","3,211,620.00","181,488,646.20","181,488,646.20","Financials","2793610","US7841171033","NASDAQ"
"WOOF","VCA INC","Equity","0.46","92.58","1,957,744.00","181,247,939.52","181,247,939.52","Health Care","2818278","US9181941017","NASDAQ"
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.45","101.40","1,772,079.00","179,688,810.60","179,688,810.60","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.45","138.58","1,293,279.00","179,222,603.82","179,222,603.82","Financials","B00JQL9","US82669G1040","NASDAQ"
"JBLU","JETBLUE AIRWAYS CORP","Equity","0.44","21.93","8,037,961.00","176,272,484.73","176,272,484.73","Industrials","2852760","US4771431016","NASDAQ"
