iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 31, 2017"
Total Net Assets,"39,058,436,144.23"
Shares Outstanding,"225,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CDNS","CADENCE DESIGN SYSTEMS INC","Equity","0.68","39.29","6,723,461.00","264,164,782.69","264,164,782.69","Information Technology","2302232","US1273871087","NASDAQ"
"MSCI","MSCI INC","Equity","0.64","114.61","2,177,301.00","249,540,467.61","249,540,467.61","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.63","97.79","2,496,927.00","244,174,491.33","244,174,491.33","Information Technology","2122117","US8740541094","NASDAQ"
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","0.61","213.96","1,106,625.00","236,773,485.00","236,773,485.00","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.60","38.68","6,081,319.00","235,225,418.92","235,225,418.92","Information Technology","2903958","US8962391004","NASDAQ"
"TFX","TELEFLEX INC","Equity","0.59","211.75","1,083,999.00","229,536,788.25","229,536,788.25","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"NVR","NVR INC","Equity","0.58","2,720.85","83,816.00","228,050,763.60","228,050,763.60","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.58","108.97","2,083,545.00","227,043,898.65","227,043,898.65","Information Technology","2208288","US1924221039","NASDAQ"
"CDK","CDK GLOBAL INC","Equity","0.58","64.50","3,491,424.00","225,196,848.00","225,196,848.00","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"ATO","ATMOS ENERGY CORP","Equity","0.57","88.04","2,531,823.00","222,901,696.92","222,901,696.92","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.57","78.13","2,827,353.00","220,901,089.89","220,901,089.89","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
