iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"40,275,091,193.72"
Shares Outstanding,"225,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TFX","TELEFLEX INC","Equity","0.65","241.97","1,078,543.00","260,975,049.71","260,975,049.71","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.65","102.23","2,551,120.00","260,800,997.60","260,800,997.60","Information Technology","2122117","US8740541094","NASDAQ"
"MSCI","MSCI INC","Equity","0.63","116.90","2,156,722.00","252,120,801.80","252,120,801.80","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","0.61","226.44","1,087,427.00","246,236,969.88","246,236,969.88","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"NVR","NVR INC","Equity","0.59","2,855.00","83,385.00","238,064,175.00","238,064,175.00","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.59","39.25","6,062,407.00","237,949,474.75","237,949,474.75","Information Technology","2903958","US8962391004","NASDAQ"
"SIVB","SVB FINANCIAL GROUP","Equity","0.59","187.09","1,261,888.00","236,086,625.92","236,086,625.92","Financials","2808053","US78486Q1013","NASDAQ"
"DPZ","DOMINOS PIZZA INC","Equity","0.57","198.55","1,155,605.00","229,445,372.75","229,445,372.75","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.57","110.28","2,073,217.00","228,634,370.76","228,634,370.76","Information Technology","2208288","US1924221039","NASDAQ"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.56","80.82","2,789,334.00","225,433,973.88","225,433,973.88","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"CC","CHEMOURS","Equity","0.56","50.61","4,425,598.00","223,979,514.78","223,979,514.78","Materials","BZ0CTP8","US1638511089","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.55","121.47","1,830,242.00","222,319,495.74","222,319,495.74","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.53","139.53","1,544,498.00","215,503,805.94","215,503,805.94","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.53","83.84","2,540,059.00","212,958,546.56","212,958,546.56","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"INGR","INGREDION INC","Equity","0.51","120.64","1,716,608.00","207,091,589.12","207,091,589.12","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.51","59.78","3,460,087.00","206,844,000.86","206,844,000.86","Financials","2487407","US27579R1041","NASDAQ"
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.50","91.45","2,213,218.00","202,398,786.10","202,398,786.10","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"LDOS","LEIDOS HOLDINGS INC","Equity","0.50","59.22","3,403,872.00","201,577,299.84","201,577,299.84","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"CDK","CDK GLOBAL INC","Equity","0.49","63.09","3,154,224.00","198,999,992.16","198,999,992.16","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"STLD","STEEL DYNAMICS INC","Equity","0.49","34.47","5,744,457.00","198,011,432.79","198,011,432.79","Materials","2849472","US8581191009","NASDAQ"
"UGI","UGI CORP","Equity","0.48","46.86","4,151,946.00","194,560,189.56","194,560,189.56","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.48","61.06","3,142,675.00","191,891,735.50","191,891,735.50","Financials","2793610","US7841171033","NASDAQ"
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.47","102.79","1,854,477.00","190,621,690.83","190,621,690.83","Information Technology","2469193","US4262811015","NASDAQ"
"MAN","MANPOWER INC","Equity","0.47","117.82","1,598,141.00","188,292,972.62","188,292,972.62","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.46","554.01","333,914.00","184,991,695.14","184,991,695.14","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.46","41.66","4,439,177.00","184,936,113.82","184,936,113.82","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","0.46","133.16","1,379,589.00","183,706,071.24","183,706,071.24","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.45","171.74","1,065,898.00","183,057,322.52","183,057,322.52","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.45","110.11","1,637,568.00","180,312,612.48","180,312,612.48","Industrials","2656423","US6795801009","NASDAQ"
"STE","STERIS","Equity","0.45","88.40","2,033,966.00","179,802,594.40","179,802,594.40","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"TER","TERADYNE INC","Equity","0.44","37.29","4,737,662.00","176,667,415.98","176,667,415.98","Information Technology","2884183","US8807701029","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.43","36.03","4,782,489.00","172,313,078.67","172,313,078.67","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.42","96.26","1,772,194.00","170,591,394.44","170,591,394.44","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.42","103.45","1,644,214.00","170,093,938.30","170,093,938.30","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"ARW","ARROW ELECTRONICS INC","Equity","0.42","80.41","2,113,667.00","169,959,963.47","169,959,963.47","Information Technology","2051404","US0427351004","New York Stock Exchange Inc."
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.42","180.11","939,429.00","169,200,557.19","169,200,557.19","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"WR","WESTAR ENERGY INC","Equity","0.42","49.60","3,411,201.00","169,195,569.60","169,195,569.60","Utilities","2484000","US95709T1007","New York Stock Exchange Inc."
"ABMD","ABIOMED INC","Equity","0.42","168.60","1,003,343.00","169,163,629.80","169,163,629.80","Health Care","2003698","US0036541003","NASDAQ"
"SBNY","SIGNATURE BANK","Equity","0.42","128.04","1,316,513.00","168,566,324.52","168,566,324.52","Financials","B00JQL9","US82669G1040","NASDAQ"
"KRC","KILROY REALTY REIT CORP","Equity","0.42","71.12","2,355,637.00","167,532,903.44","167,532,903.44","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"IPGP","IPG PHOTONICS CORP","Equity","0.41","185.06","902,315.00","166,982,413.90","166,982,413.90","Information Technology","2698782","US44980X1090","NASDAQ"
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.41","184.51","900,106.00","166,078,558.06","166,078,558.06","Financials","B03Q9D0","US57060D1081","NASDAQ"
"GGG","GRACO INC","Equity","0.41","123.69","1,340,987.00","165,866,682.03","165,866,682.03","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"CPRT","COPART INC","Equity","0.41","34.37","4,798,873.00","164,937,265.01","164,937,265.01","Industrials","2208073","US2172041061","NASDAQ"
"RPM","RPM INTERNATIONAL INC","Equity","0.41","51.34","3,206,852.00","164,639,781.68","164,639,781.68","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"LW","LAMB WESTON HOLDINGS INC","Equity","0.41","46.89","3,500,490.00","164,137,976.10","164,137,976.10","Consumer Staples","BDQZFJ3","US5132721045","New York Stock Exchange Inc."
"LII","LENNOX INTERNATIONAL INC","Equity","0.40","178.97","909,154.00","162,711,291.38","162,711,291.38","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"TTC","TORO","Equity","0.40","62.06","2,584,385.00","160,386,933.10","160,386,933.10","Industrials","2897040","US8910921084","New York Stock Exchange Inc."
"GXP","GREAT PLAINS ENERGY INC","Equity","0.39","30.30","5,164,537.00","156,485,471.10","156,485,471.10","Utilities","2483706","US3911641005","New York Stock Exchange Inc."
"PTC","PTC INC","Equity","0.39","56.28","2,768,570.00","155,815,119.60","155,815,119.60","Information Technology","B95N910","US69370C1009","NASDAQ"
"SCI","SERVICE","Equity","0.38","34.50","4,496,338.00","155,123,661.00","155,123,661.00","Consumer Discretionary","2797560","US8175651046","New York Stock Exchange Inc."
