iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"41,705,549,263.62"
Shares Outstanding,"227,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.69","110.65","2,584,573.00","285,983,002.45","285,983,002.45","Information Technology","2122117","US8740541094","NASDAQ"
"SIVB","SVB FINANCIAL GROUP","Equity","0.67","219.28","1,278,408.00","280,329,306.24","280,329,306.24","Financials","2808053","US78486Q1013","NASDAQ"
"NVR","NVR INC","Equity","0.66","3,281.37","84,506.00","277,295,453.22","277,295,453.22","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"TFX","TELEFLEX INC","Equity","0.62","236.98","1,092,703.00","258,948,756.94","258,948,756.94","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.62","123.15","2,100,416.00","258,666,230.40","258,666,230.40","Information Technology","2208288","US1924221039","NASDAQ"
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","0.61","232.83","1,101,705.00","256,509,975.15","256,509,975.15","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"MSCI","MSCI INC","Equity","0.61","117.36","2,184,983.00","256,429,604.88","256,429,604.88","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"CC","CHEMOURS","Equity","0.61","56.61","4,483,595.00","253,816,312.95","253,816,312.95","Materials","BZ0CTP8","US1638511089","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.60","40.88","6,141,880.00","251,080,054.40","251,080,054.40","Information Technology","2903958","US8962391004","NASDAQ"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.58","85.92","2,825,914.00","242,802,530.88","242,802,530.88","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.57","128.21","1,854,255.00","237,734,033.55","237,734,033.55","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.56","149.38","1,564,735.00","233,740,114.30","233,740,114.30","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.54","87.24","2,573,335.00","224,497,745.40","224,497,745.40","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"INGR","INGREDION INC","Equity","0.52","125.35","1,739,087.00","217,994,555.45","217,994,555.45","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.52","37.21","5,819,741.00","216,552,562.61","216,552,562.61","Materials","2849472","US8581191009","NASDAQ"
"LDOS","LEIDOS HOLDINGS INC","Equity","0.52","62.52","3,448,476.00","215,598,719.52","215,598,719.52","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.51","197.74","1,079,881.00","213,535,668.94","213,535,668.94","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.50","59.84","3,505,458.00","209,766,606.72","209,766,606.72","Financials","2487407","US27579R1041","NASDAQ"
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.50","110.13","1,878,785.00","206,910,592.05","206,910,592.05","Information Technology","2469193","US4262811015","NASDAQ"
"TER","TERADYNE INC","Equity","0.49","42.89","4,799,730.00","205,860,419.70","205,860,419.70","Information Technology","2884183","US8807701029","New York Stock Exchange Inc."
"SEIC","SEI INVESTMENTS","Equity","0.49","64.51","3,183,857.00","205,390,615.07","205,390,615.07","Financials","2793610","US7841171033","NASDAQ"
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.49","91.24","2,242,246.00","204,582,525.04","204,582,525.04","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"CDK","CDK GLOBAL INC","Equity","0.49","63.56","3,195,583.00","203,111,255.48","203,111,255.48","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"UGI","UGI CORP","Equity","0.48","47.86","4,206,344.00","201,315,623.84","201,315,623.84","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.48","121.13","1,659,044.00","200,959,999.72","200,959,999.72","Industrials","2656423","US6795801009","NASDAQ"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.48","44.67","4,497,351.00","200,896,669.17","200,896,669.17","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"MAN","MANPOWER INC","Equity","0.48","123.28","1,619,086.00","199,600,922.08","199,600,922.08","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"ABMD","ABIOMED INC","Equity","0.47","192.92","1,016,500.00","196,103,180.00","196,103,180.00","Health Care","2003698","US0036541003","NASDAQ"
"IPGP","IPG PHOTONICS CORP","Equity","0.47","212.91","914,115.00","194,624,224.65","194,624,224.65","Information Technology","2698782","US44980X1090","NASDAQ"
