iShares Core S&P Mid-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Nov 30, 2017"
Total Net Assets,"43,729,680,073.04"
Shares Outstanding,"230,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Equity","0.71","111.55","2,800,167.00","312,358,628.85","312,358,628.85","Information Technology","2122117","US8740541094","NASDAQ"
"NVR","NVR INC","Equity","0.68","3,475.00","85,494.00","297,091,650.00","297,091,650.00","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.67","138.57","2,127,369.00","294,789,522.33","294,789,522.33","Information Technology","2208288","US1924221039","NASDAQ"
"SIVB","SVB FINANCIAL GROUP","Equity","0.67","227.64","1,294,949.00","294,782,190.36","294,782,190.36","Financials","2808053","US78486Q1013","NASDAQ"
"TFX","TELEFLEX INC","Equity","0.67","265.52","1,106,770.00","293,869,570.40","293,869,570.40","Health Care","2881407","US8793691069","New York Stock Exchange Inc."
"MSCI","MSCI INC","Equity","0.65","128.70","2,213,232.00","284,842,958.40","284,842,958.40","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","0.62","241.67","1,116,094.00","269,726,436.98","269,726,436.98","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"TRMB","TRIMBLE INC","Equity","0.60","41.99","6,222,076.00","261,264,971.24","261,264,971.24","Information Technology","2903958","US8962391004","NASDAQ"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.59","90.26","2,862,878.00","258,403,368.28","258,403,368.28","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.59","162.05","1,582,571.00","256,455,630.55","256,455,630.55","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.58","135.57","1,878,697.00","254,694,952.29","254,694,952.29","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"INGR","INGREDION INC","Equity","0.56","138.48","1,762,062.00","244,010,345.76","244,010,345.76","Consumer Staples","B7K24P7","US4571871023","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.55","92.29","2,607,425.00","240,639,253.25","240,639,253.25","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"CC","CHEMOURS","Equity","0.53","51.40","4,542,886.00","233,504,340.40","233,504,340.40","Materials","BZ0CTP8","US1638511089","New York Stock Exchange Inc."
"WCG","WELLCARE HEALTHCARE PLANS INC","Equity","0.53","212.99","1,094,328.00","233,080,920.72","233,080,920.72","Health Care","B01R258","US94946T1060","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.52","38.50","5,897,454.00","227,051,979.00","227,051,979.00","Materials","2849472","US8581191009","NASDAQ"
"SEIC","SEI INVESTMENTS","Equity","0.52","70.36","3,226,419.00","227,010,840.84","227,010,840.84","Financials","2793610","US7841171033","NASDAQ"
"CDK","CDK GLOBAL INC","Equity","0.51","69.09","3,238,279.00","223,732,696.11","223,732,696.11","Information Technology","BQXTWQ5","US12508E1010","NASDAQ"
"LDOS","LEIDOS HOLDINGS INC","Equity","0.51","63.57","3,494,680.00","222,156,807.60","222,156,807.60","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.50","115.32","1,903,986.00","219,567,665.52","219,567,665.52","Information Technology","2469193","US4262811015","NASDAQ"
"EWBC","EAST WEST BANCORP INC","Equity","0.50","61.54","3,552,739.00","218,635,558.06","218,635,558.06","Financials","2487407","US27579R1041","NASDAQ"
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.50","129.24","1,681,500.00","217,317,060.00","217,317,060.00","Industrials","2656423","US6795801009","NASDAQ"
"CPRT","COPART INC","Equity","0.49","43.16","4,928,878.00","212,730,374.48","212,730,374.48","Industrials","2208073","US2172041061","NASDAQ"
"IPGP","IPG PHOTONICS CORP","Equity","0.48","228.98","926,289.00","212,101,655.22","212,101,655.22","Information Technology","2698782","US44980X1090","NASDAQ"
"MAN","MANPOWER INC","Equity","0.48","128.90","1,640,886.00","211,510,205.40","211,510,205.40","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.48","49.01","4,263,186.00","208,938,745.86","208,938,745.86","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT TRUST","Equity","0.47","91.28","2,272,393.00","207,424,033.04","207,424,033.04","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"ABMD","ABIOMED INC","Equity","0.46","194.84","1,030,259.00","200,735,663.56","200,735,663.56","Health Care","2003698","US0036541003","NASDAQ"
"DPZ","DOMINOS PIZZA INC","Equity","0.46","186.16","1,075,523.00","200,219,361.68","200,219,361.68","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"WR","WESTAR ENERGY INC","Equity","0.46","57.21","3,491,395.00","199,742,707.95","199,742,707.95","Utilities","2484000","US95709T1007","New York Stock Exchange Inc."
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.45","43.50","4,558,264.00","198,284,484.00","198,284,484.00","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
"TER","TERADYNE INC","Equity","0.45","40.47","4,863,984.00","196,845,432.48","196,845,432.48","Information Technology","2884183","US8807701029","New York Stock Exchange Inc."
"LII","LENNOX INTERNATIONAL INC","Equity","0.45","209.74","933,748.00","195,844,305.52","195,844,305.52","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"LW","LAMB WESTON HOLDINGS INC","Equity","0.45","54.37","3,594,741.00","195,446,068.17","195,446,068.17","Consumer Staples","BDQZFJ3","US5132721045","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.45","584.80","333,914.00","195,272,907.20","195,272,907.20","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","0.44","44.48","4,359,716.00","193,920,167.68","193,920,167.68","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.44","199.88","964,783.00","192,840,826.04","192,840,826.04","Financials","2329770","US3030751057","New York Stock Exchange Inc."
