As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 29, 2018","2,790.67",187.51,--,"236,250,000.00"
"Mar 28, 2018","2,753.07",184.98,--,"236,250,000.00"
"Mar 27, 2018","2,748.93",184.7,--,"235,650,000.00"
"Mar 26, 2018","2,790.06",187.47,--,"235,650,000.00"
"Mar 23, 2018","2,730.69",183.48,--,"235,850,000.00"
"Mar 22, 2018","2,784.72",187.11,0.7,"235,550,000.00"
"Mar 21, 2018","2,857.14",192.7,--,"235,550,000.00"
"Mar 20, 2018","2,848.32",192.1,--,"235,550,000.00"
"Mar 19, 2018","2,846.52",191.98,--,"235,700,000.00"
"Mar 16, 2018","2,873.28",193.78,--,"239,300,000.00"
"Mar 15, 2018","2,853.23",192.44,--,"239,200,000.00"
"Mar 14, 2018","2,863.38",193.12,--,"235,600,000.00"
"Mar 13, 2018","2,879.03",194.18,--,"235,600,000.00"
"Mar 12, 2018","2,894.95",195.25,--,"235,800,000.00"
"Mar 09, 2018","2,891.64",195.03,--,"235,000,000.00"
"Mar 08, 2018","2,844.92",191.88,--,"235,050,000.00"
"Mar 07, 2018","2,848.61",192.12,--,"235,050,000.00"
"Mar 06, 2018","2,843.26",191.76,--,"236,600,000.00"
"Mar 05, 2018","2,814.57",189.83,--,"236,450,000.00"
"Mar 02, 2018","2,786.29",187.92,--,"235,000,000.00"
"Mar 01, 2018","2,755.49",185.85,--,"235,000,000.00"
"Feb 28, 2018","2,764.99",186.48,--,"235,000,000.00"
"Feb 27, 2018","2,798.11",188.72,--,"234,500,000.00"
"Feb 26, 2018","2,838.65",191.45,--,"234,500,000.00"
"Feb 23, 2018","2,822.66",190.37,--,"234,450,000.00"
"Feb 22, 2018","2,788.46",188.07,--,"234,450,000.00"
"Feb 21, 2018","2,792.33",188.33,--,"234,450,000.00"
"Feb 20, 2018","2,798.46",188.74,--,"234,450,000.00"
"Feb 16, 2018","2,817.60",190.03,--,"234,950,000.00"
"Feb 15, 2018","2,811.00",189.59,--,"235,000,000.00"
"Feb 14, 2018","2,782.62",187.67,--,"234,900,000.00"
"Feb 13, 2018","2,731.04",184.19,--,"234,800,000.00"
"Feb 12, 2018","2,724.14",183.73,--,"235,500,000.00"
"Feb 09, 2018","2,696.96",181.89,--,"235,750,000.00"
"Feb 08, 2018","2,667.74",179.92,--,"233,750,000.00"
"Feb 07, 2018","2,758.31",186.03,--,"233,900,000.00"
"Feb 06, 2018","2,760.40",186.17,--,"234,650,000.00"
"Feb 05, 2018","2,738.92",184.72,--,"234,600,000.00"
"Feb 02, 2018","2,839.88",191.53,--,"234,500,000.00"
"Feb 01, 2018","2,898.26",195.47,--,"234,550,000.00"
"Jan 31, 2018","2,893.23",195.13,--,"235,150,000.00"
"Jan 30, 2018","2,898.37",195.48,--,"235,150,000.00"
"Jan 29, 2018","2,929.12",197.55,--,"235,150,000.00"
"Jan 26, 2018","2,953.74",199.21,--,"234,800,000.00"
"Jan 25, 2018","2,941.78",198.4,--,"234,800,000.00"
"Jan 24, 2018","2,942.32",198.44,--,"234,750,000.00"
"Jan 23, 2018","2,951.36",199.05,--,"234,750,000.00"
"Jan 22, 2018","2,945.04",198.63,--,"234,550,000.00"
"Jan 19, 2018","2,929.64",197.59,--,"234,050,000.00"
"Jan 18, 2018","2,898.66",195.5,--,"234,050,000.00"
"Jan 17, 2018","2,909.90",196.26,--,"234,050,000.00"
"Jan 16, 2018","2,889.34",194.87,--,"234,050,000.00"
"Jan 12, 2018","2,909.85",196.26,--,"234,250,000.00"
"Jan 11, 2018","2,901.81",195.71,--,"234,000,000.00"
"Jan 10, 2018","2,861.03",192.96,--,"233,900,000.00"
"Jan 09, 2018","2,874.71",193.89,--,"233,750,000.00"
"Jan 08, 2018","2,879.88",194.23,--,"233,600,000.00"
"Jan 05, 2018","2,865.31",193.25,--,"233,600,000.00"
"Jan 04, 2018","2,853.74",192.47,--,"233,600,000.00"
"Jan 03, 2018","2,846.14",191.96,--,"233,500,000.00"
"Jan 02, 2018","2,837.26",191.36,--,"233,100,000.00"
"Dec 29, 2017","2,812.39",189.67,--,"232,850,000.00"
"Dec 28, 2017","2,827.84",190.72,--,"232,850,000.00"
"Dec 27, 2017","2,818.39",190.08,--,"232,550,000.00"
"Dec 26, 2017","2,818.65",190.1,--,"232,600,000.00"
"Dec 22, 2017","2,816.88",189.98,--,"232,600,000.00"
"Dec 21, 2017","2,817.72",190.04,--,"232,550,000.00"
"Dec 20, 2017","2,809.84",189.51,--,"232,250,000.00"
"Dec 19, 2017","2,805.44",189.21,0.49,"231,300,000.00"
"Dec 18, 2017","2,817.57",190.52,--,"231,300,000.00"
"Dec 15, 2017","2,790.00",188.65,--,"231,050,000.00"
"Dec 14, 2017","2,760.93",186.69,--,"230,900,000.00"
"Dec 13, 2017","2,784.54",188.29,--,"230,550,000.00"
"Dec 12, 2017","2,784.69",188.3,--,"230,500,000.00"
"Dec 11, 2017","2,790.93",188.72,--,"230,600,000.00"
"Dec 08, 2017","2,794.86",188.99,--,"230,600,000.00"
"Dec 07, 2017","2,783.96",188.25,--,"230,600,000.00"
"Dec 06, 2017","2,765.19",186.98,--,"230,800,000.00"
"Dec 05, 2017","2,776.91",187.77,--,"230,800,000.00"
"Dec 04, 2017","2,798.88",189.26,--,"230,800,000.00"
"Dec 01, 2017","2,799.51",189.3,--,"230,650,000.00"
"Nov 30, 2017","2,806.27",189.76,--,"230,450,000.00"
"Nov 29, 2017","2,790.29",188.68,--,"230,050,000.00"
"Nov 28, 2017","2,777.04",187.79,--,"230,050,000.00"
"Nov 27, 2017","2,741.26",185.37,--,"229,900,000.00"
